claim_id,accident_year,line_of_business,risk_class,exposure,previous_claims,deductible,coverage_limit,development_month,claim_amount,reported_amount,paid_amount,reserve
CLM-00077,2020,cyber,A,4303000.0,0,50000,5000000.0,42,10181.0,10317.0,7845.0,2472.0
CLM-00078,2020,general_liability,B,1097000.0,3,50000,5000000.0,1,76379.0,83773.0,3757.0,80016.0
CLM-00079,2024,general_liability,B,5492000.0,2,50000,10000000.0,22,47210.0,46326.0,19831.0,26495.0
CLM-00080,2021,business_interruption,C,1454000.0,3,100000,2000000.0,60,89946.0,98591.0,84653.0,13938.0
CLM-00081,2021,auto,B,3744000.0,2,50000,2000000.0,23,19232.0,20457.0,7989.0,12468.0
CLM-00082,2024,general_liability,B,2083000.0,6,50000,5000000.0,36,150087.0,161176.0,97504.0,63672.0
CLM-00083,2018,auto,C,1562000.0,5,100000,2000000.0,60,27604.0,26815.0,23742.0,3073.0
CLM-00084,2021,property,A,676000.0,0,100000,5000000.0,37,39210.0,39897.0,27356.0,12541.0
CLM-00085,2023,property,A,1804000.0,0,100000,1000000.0,46,14542.0,13748.0,12834.0,914.0
CLM-00086,2021,cyber,A,785000.0,2,25000,1000000.0,58,19456.0,18710.0,17251.0,1459.0
CLM-00087,2024,auto,C,3573000.0,3,100000,2000000.0,38,376526.0,347331.0,269006.0,78325.0
CLM-00088,2024,property,B,4969000.0,0,50000,1000000.0,50,136089.0,126793.0,115803.0,10990.0
CLM-00089,2020,property,A,1240000.0,1,25000,10000000.0,31,121685.0,115921.0,70939.0,44982.0
CLM-00090,2023,business_interruption,B,2397000.0,2,50000,1000000.0,49,319157.0,333538.0,276989.0,56549.0
CLM-00091,2019,auto,A,1294000.0,1,100000,5000000.0,39,21808.0,22033.0,15402.0,6631.0
CLM-00092,2019,auto,B,1372000.0,3,50000,1000000.0,21,284723.0,275252.0,105966.0,169286.0
CLM-00093,2024,property,B,3183000.0,3,100000,10000000.0,34,24383.0,27194.0,16485.0,10709.0
CLM-00094,2018,business_interruption,B,1954000.0,2,50000,2000000.0,21,145815.0,150377.0,63137.0,87240.0
CLM-00095,2020,cyber,A,5680000.0,0,25000,1000000.0,24,37473.0,42374.0,17673.0,24701.0
CLM-00096,2022,general_liability,B,1498000.0,2,50000,1000000.0,18,30179.0,31952.0,9783.0,22169.0
CLM-00097,2020,general_liability,B,3643000.0,5,50000,2000000.0,30,192405.0,173924.0,120066.0,53858.0
CLM-00098,2023,auto,A,2120000.0,1,50000,10000000.0,21,115779.0,130641.0,50468.0,80173.0
CLM-00099,2019,cyber,A,3224000.0,2,100000,10000000.0,38,135609.0,151118.0,98794.0,52324.0
CLM-00100,2021,cyber,D,1529000.0,6,100000,2000000.0,23,235781.0,249649.0,97860.0,151789.0
CLM-00101,2018,business_interruption,D,1941000.0,3,25000,2000000.0,30,182717.0,188873.0,109414.0,79459.0
CLM-00102,2019,auto,B,1866000.0,1,50000,1000000.0,9,109235.0,110680.0,20363.0,90317.0
CLM-00103,2019,general_liability,A,1211000.0,1,25000,2000000.0,24,56522.0,57683.0,27323.0,30360.0
CLM-00104,2023,general_liability,D,2975000.0,2,50000,2000000.0,22,271281.0,296322.0,117328.0,178994.0
CLM-00105,2019,cyber,C,2954000.0,3,25000,2000000.0,58,152592.0,156908.0,143684.0,13224.0
CLM-00106,2022,property,C,2856000.0,1,50000,5000000.0,27,229118.0,216289.0,128452.0,87837.0
CLM-00107,2020,property,B,5030000.0,2,100000,5000000.0,2,21818.0,19954.0,939.0,19015.0
CLM-00108,2021,auto,A,4772000.0,2,50000,1000000.0,19,58319.0,54327.0,20140.0,34187.0
CLM-00109,2024,general_liability,A,1597000.0,0,25000,1000000.0,44,12243.0,11788.0,10938.0,850.0
CLM-00110,2024,cyber,D,2502000.0,3,50000,1000000.0,10,221779.0,219990.0,40279.0,179711.0
CLM-00111,2018,property,B,1376000.0,1,50000,1000000.0,10,276140.0,310134.0,52207.0,257927.0
CLM-00112,2023,general_liability,A,2028000.0,2,50000,1000000.0,23,34586.0,33195.0,14786.0,18409.0
CLM-00113,2024,property,A,1396000.0,1,25000,5000000.0,22,49964.0,48960.0,20301.0,28659.0
CLM-00114,2022,auto,B,5287000.0,3,100000,1000000.0,29,204492.0,195444.0,105492.0,89952.0
CLM-00115,2019,cyber,A,2488000.0,0,50000,5000000.0,3,7391.0,7660.0,432.0,7228.0
CLM-00116,2022,general_liability,C,1755000.0,1,50000,5000000.0,44,59388.0,62611.0,49550.0,13061.0
CLM-00117,2022,general_liability,C,4093000.0,3,25000,10000000.0,13,191284.0,197602.0,48322.0,149280.0
CLM-00118,2022,property,C,544000.0,8,50000,5000000.0,43,9151.0,10414.0,7343.0,3071.0
CLM-00119,2021,auto,B,597000.0,1,50000,1000000.0,34,21227.0,24387.0,14904.0,9483.0
CLM-00120,2021,business_interruption,B,3224000.0,5,25000,1000000.0,13,289109.0,320723.0,73501.0,247222.0
CLM-00121,2022,cyber,B,2074000.0,2,50000,1000000.0,29,186502.0,205399.0,112023.0,93376.0
CLM-00122,2021,property,B,2324000.0,3,50000,10000000.0,3,118047.0,117045.0,6659.0,110386.0
CLM-00123,2023,auto,A,902000.0,0,100000,10000000.0,43,81579.0,85246.0,62144.0,23102.0
CLM-00124,2022,property,B,1972000.0,0,250000,2000000.0,19,77226.0,76289.0,29566.0,46723.0
CLM-00125,2020,property,A,6654000.0,0,25000,2000000.0,24,100187.0,109814.0,48796.0,61018.0
CLM-00126,2022,property,B,3279000.0,0,25000,2000000.0,10,54390.0,51287.0,9731.0,41556.0
CLM-00127,2023,property,A,2214000.0,1,100000,2000000.0,22,55496.0,52953.0,24006.0,28947.0
CLM-00128,2021,property,A,1537000.0,0,250000,10000000.0,24,23848.0,21694.0,11318.0,10376.0
CLM-00129,2023,cyber,A,1578000.0,2,100000,1000000.0,14,155174.0,163280.0,39460.0,123820.0
CLM-00130,2018,property,B,557000.0,3,25000,2000000.0,59,231941.0,248672.0,216373.0,32299.0
CLM-00131,2020,cyber,A,2334000.0,4,25000,2000000.0,17,223005.0,200892.0,70015.0,130877.0
CLM-00132,2022,business_interruption,D,3322000.0,5,25000,1000000.0,11,150840.0,155018.0,29468.0,125550.0
CLM-00133,2024,auto,B,777000.0,1,100000,2000000.0,33,23148.0,23014.0,15597.0,7417.0
CLM-00134,2022,general_liability,A,1345000.0,0,50000,5000000.0,20,128606.0,141222.0,49500.0,91722.0
CLM-00135,2022,cyber,B,999000.0,2,50000,1000000.0,28,102785.0,93506.0,57995.0,35511.0
CLM-00136,2020,property,A,1121000.0,0,50000,2000000.0,44,52335.0,47737.0,45980.0,1757.0
CLM-00137,2022,general_liability,D,2065000.0,0,25000,2000000.0,5,73287.0,77322.0,7627.0,69695.0
CLM-00138,2020,general_liability,B,573000.0,2,50000,1000000.0,31,80419.0,84272.0,47559.0,36713.0
CLM-00139,2018,cyber,C,2891000.0,0,25000,1000000.0,2,37413.0,41445.0,1710.0,39735.0
CLM-00140,2019,cyber,A,3144000.0,1,50000,2000000.0,3,96583.0,101225.0,5386.0,95839.0
CLM-00141,2022,cyber,B,1720000.0,3,100000,1000000.0,6,270414.0,307553.0,31901.0,275652.0
CLM-00142,2024,auto,B,451000.0,1,50000,2000000.0,10,206902.0,202474.0,39782.0,162692.0
CLM-00143,2021,general_liability,D,1100000.0,6,50000,5000000.0,21,338619.0,338443.0,142118.0,196325.0
CLM-00144,2024,cyber,B,4191000.0,1,100000,5000000.0,57,23994.0,27459.0,21678.0,5781.0
CLM-00145,2023,cyber,B,378000.0,4,100000,10000000.0,55,69252.0,64188.0,60223.0,3965.0
CLM-00146,2021,general_liability,A,1624000.0,0,25000,2000000.0,7,293041.0,322045.0,41853.0,280192.0
CLM-00147,2023,business_interruption,A,985000.0,1,25000,5000000.0,60,18687.0,16872.0,18205.0,0.0
CLM-00148,2020,cyber,B,3241000.0,2,50000,5000000.0,39,80165.0,81899.0,58793.0,23106.0
CLM-00149,2021,general_liability,B,1334000.0,1,25000,1000000.0,34,223094.0,209340.0,150685.0,58655.0
CLM-00150,2023,property,A,2549000.0,1,25000,2000000.0,48,90262.0,94749.0,83389.0,11360.0
CLM-00151,2022,property,C,2808000.0,0,25000,2000000.0,30,919320.0,1010831.0,553974.0,456857.0
CLM-00152,2021,cyber,C,6019000.0,3,25000,5000000.0,16,78455.0,71258.0,23759.0,47499.0
CLM-00153,2021,property,A,1771000.0,1,50000,2000000.0,32,19404.0,18258.0,12035.0,6223.0
CLM-00154,2024,general_liability,B,2506000.0,4,50000,1000000.0,44,279992.0,275975.0,220386.0,55589.0
CLM-00155,2018,auto,A,820000.0,1,25000,10000000.0,41,13296.0,12817.0,9951.0,2866.0
CLM-00156,2018,cyber,B,4085000.0,2,100000,1000000.0,11,75047.0,74732.0,16635.0,58097.0
CLM-00157,2021,cyber,A,1267000.0,1,25000,10000000.0,57,40995.0,46651.0,37192.0,9459.0
CLM-00158,2018,cyber,B,1429000.0,3,50000,5000000.0,18,189618.0,175454.0,60815.0,114639.0
CLM-00159,2020,general_liability,C,1973000.0,2,25000,5000000.0,50,184215.0,185287.0,161215.0,24072.0
CLM-00160,2021,property,C,783000.0,1,100000,5000000.0,19,117164.0,118836.0,42284.0,76552.0
CLM-00161,2020,auto,A,2294000.0,0,250000,1000000.0,4,32420.0,31450.0,2587.0,28863.0
CLM-00162,2019,property,D,3574000.0,3,50000,5000000.0,60,564139.0,547004.0,1641012.0,36727.0
CLM-00163,2019,auto,A,2384000.0,0,25000,5000000.0,36,1761308.0,1899902.0,1270490.0,629412.0
CLM-00164,2022,business_interruption,A,771000.0,0,25000,5000000.0,13,66057.0,69655.0,17510.0,52145.0
CLM-00165,2024,auto,B,1857000.0,2,25000,2000000.0,1,80465.0,88770.0,3626.0,85144.0
CLM-00166,2023,auto,B,3122000.0,1,100000,1000000.0,8,24045.0,24075.0,3888.0,20187.0
CLM-00167,2021,auto,C,648000.0,2,25000,2000000.0,11,45204.0,47540.0,9003.0,38537.0
CLM-00168,2018,cyber,C,1049000.0,2,250000,2000000.0,56,74664.0,83877.0,68115.0,15762.0
CLM-00169,2019,general_liability,A,3384000.0,2,50000,2000000.0,11,37226.0,41426.0,7376.0,34050.0
CLM-00170,2021,general_liability,D,2352000.0,4,50000,5000000.0,10,181766.0,205397.0,32486.0,172911.0
CLM-00171,2019,property,A,2561000.0,1,100000,5000000.0,51,256901.0,248486.0,220852.0,27634.0
CLM-00172,2022,auto,B,6103000.0,4,25000,5000000.0,53,357102.0,409366.0,309148.0,100218.0
CLM-00173,2020,property,A,2649000.0,3,100000,2000000.0,13,53195.0,58732.0,14052.0,44680.0
CLM-00174,2023,general_liability,D,2968000.0,3,25000,2000000.0,40,60819.0,66822.0,47213.0,19609.0
CLM-00175,2019,cyber,A,10172000.0,0,100000,2000000.0,33,225184.0,240248.0,153592.0,86656.0
CLM-00176,2021,property,A,1759000.0,1,50000,1000000.0,35,45169.0,51755.0,30653.0,21102.0
CLM-00177,2023,auto,B,1239000.0,2,25000,1000000.0,19,14057.0,14203.0,5254.0,8949.0
CLM-00178,2019,property,D,2585000.0,2,100000,2000000.0,46,305514.0,331600.0,256969.0,74631.0
CLM-00179,2023,property,C,2603000.0,3,25000,2000000.0,53,309717.0,332854.0,288374.0,44480.0
CLM-00180,2022,property,C,1458000.0,2,25000,2000000.0,44,11071.0,11990.0,9213.0,2777.0
CLM-00181,2022,property,C,1076000.0,4,100000,1000000.0,55,50886.0,55357.0,50363.0,4994.0
CLM-00182,2021,business_interruption,C,7997000.0,0,50000,2000000.0,7,116017.0,109948.0,16751.0,93197.0
CLM-00183,2024,business_interruption,B,2433000.0,1,100000,1000000.0,40,140712.0,138920.0,103162.0,35758.0
CLM-00184,2023,auto,A,1289000.0,1,50000,5000000.0,60,27458.0,27405.0,25893.0,1512.0
CLM-00185,2019,auto,C,3465000.0,2,50000,2000000.0,33,57692.0,62711.0,37511.0,25200.0
CLM-00186,2021,cyber,B,1873000.0,1,25000,2000000.0,57,130937.0,141289.0,122345.0,18944.0
CLM-00187,2024,cyber,B,1718000.0,3,25000,1000000.0,21,51274.0,56829.0,19486.0,37343.0
CLM-00188,2019,general_liability,A,2802000.0,1,250000,10000000.0,54,86384.0,94774.0,81901.0,12873.0
CLM-00189,2021,property,C,921000.0,3,25000,2000000.0,57,34898.0,36608.0,33846.0,2762.0
CLM-00190,2023,auto,A,2471000.0,0,50000,5000000.0,38,14047.0,13134.0,10028.0,3106.0
CLM-00191,2019,business_interruption,D,6302000.0,4,25000,2000000.0,43,465604.0,493011.0,386731.0,106280.0
CLM-00192,2021,property,A,2645000.0,1,25000,5000000.0,32,65615.0,73605.0,37945.0,35660.0
CLM-00193,2021,general_liability,A,1596000.0,1,50000,5000000.0,20,105685.0,112110.0,43578.0,68532.0
CLM-00194,2019,general_liability,C,1475000.0,2,100000,2000000.0,33,61020.0,68581.0,36348.0,32233.0
CLM-00195,2019,general_liability,A,1564000.0,2,100000,5000000.0,58,24279.0,27915.0,21396.0,6519.0
CLM-00196,2021,auto,A,1717000.0,3,100000,1000000.0,1,187385.0,185474.0,8383.0,177091.0
CLM-00197,2019,general_liability,B,1594000.0,4,25000,5000000.0,13,21100.0,22805.0,5565.0,17240.0
CLM-00198,2024,business_interruption,C,3466000.0,1,50000,2000000.0,30,347387.0,359542.0,207368.0,152174.0
CLM-00199,2021,cyber,A,707000.0,0,25000,1000000.0,21,113880.0,115445.0,42402.0,73043.0
CLM-00200,2022,property,A,3355000.0,0,100000,10000000.0,38,111060.0,106614.0,77155.0,29459.0
CLM-00201,2020,cyber,C,1593000.0,0,50000,5000000.0,22,46097.0,44321.0,20336.0,23985.0
CLM-00202,2020,cyber,D,2508000.0,3,50000,2000000.0,40,82961.0,78501.0,62952.0,15549.0
CLM-00203,2021,general_liability,B,1017000.0,2,25000,10000000.0,7,52381.0,55412.0,6523.0,48889.0
CLM-00204,2022,general_liability,A,4439000.0,1,100000,2000000.0,20,18550.0,17354.0,7687.0,9667.0
CLM-00205,2020,cyber,A,4223000.0,1,100000,2000000.0,42,24729.0,24923.0,18883.0,6040.0
CLM-00206,2019,general_liability,A,3557000.0,1,100000,5000000.0,29,100571.0,103672.0,56300.0,47372.0
CLM-00207,2019,property,A,806000.0,2,25000,2000000.0,43,75480.0,76201.0,59993.0,16208.0
CLM-00208,2021,general_liability,B,3289000.0,1,250000,2000000.0,39,30460.0,33924.0,23774.0,10150.0
CLM-00209,2022,property,A,2550000.0,2,25000,5000000.0,20,103122.0,104235.0,41528.0,62707.0
CLM-00210,2021,auto,B,763000.0,0,50000,1000000.0,26,75537.0,69548.0,37216.0,32332.0
CLM-00211,2019,property,B,1971000.0,3,25000,2000000.0,58,314791.0,361396.0,298663.0,62733.0
CLM-00212,2019,auto,B,2489000.0,2,25000,2000000.0,58,132101.0,146797.0,130299.0,16498.0
CLM-00213,2020,general_liability,A,2792000.0,1,50000,5000000.0,3,137385.0,146317.0,8348.0,137969.0
CLM-00214,2020,cyber,C,2224000.0,1,25000,1000000.0,43,154868.0,168664.0,126560.0,42104.0
CLM-00215,2019,general_liability,C,2382000.0,3,50000,1000000.0,30,290702.0,270948.0,166467.0,104481.0
CLM-00216,2024,business_interruption,C,4842000.0,1,50000,5000000.0,1,38448.0,41965.0,1890.0,40075.0
CLM-00217,2020,business_interruption,A,4174000.0,0,100000,1000000.0,39,48474.0,46144.0,33680.0,12464.0
CLM-00218,2019,property,A,358000.0,2,50000,2000000.0,2,33165.0,33903.0,1415.0,32488.0
CLM-00219,2022,auto,D,1653000.0,2,50000,5000000.0,20,115544.0,109131.0,42408.0,66723.0
CLM-00220,2023,property,B,1812000.0,2,25000,5000000.0,42,109015.0,118657.0,92922.0,25735.0
CLM-00221,2021,cyber,A,699000.0,1,100000,1000000.0,49,66340.0,63785.0,57914.0,5871.0
CLM-00222,2022,auto,B,2116000.0,1,25000,5000000.0,25,99862.0,96197.0,46435.0,49762.0
CLM-00223,2018,property,B,4231000.0,3,25000,5000000.0,49,83491.0,77422.0,78846.0,0.0
CLM-00224,2021,property,D,1042000.0,5,25000,2000000.0,51,84058.0,90795.0,73772.0,17023.0
CLM-00225,2018,general_liability,A,2447000.0,1,50000,5000000.0,27,137629.0,134045.0,69324.0,64721.0
CLM-00226,2018,cyber,D,1154000.0,5,50000,5000000.0,11,229051.0,235824.0,48294.0,187530.0
CLM-00227,2022,cyber,A,1336000.0,0,50000,5000000.0,40,16265.0,15989.0,11985.0,4004.0
CLM-00228,2019,property,B,4853000.0,1,50000,2000000.0,1,72527.0,79321.0,3622.0,75699.0
CLM-00229,2018,general_liability,B,1444000.0,1,50000,5000000.0,54,13280.0,12704.0,11614.0,1090.0
CLM-00230,2019,general_liability,A,2639000.0,2,50000,10000000.0,24,58429.0,66329.0,28557.0,37772.0
CLM-00231,2023,auto,A,651000.0,1,25000,2000000.0,46,30800.0,30194.0,27171.0,3023.0
CLM-00232,2022,property,B,6114000.0,2,50000,5000000.0,45,59086.0,54711.0,48157.0,6554.0
CLM-00233,2020,general_liability,D,2871000.0,8,50000,5000000.0,29,1111184.0,1066821.0,582571.0,484250.0
CLM-00234,2024,cyber,B,1793000.0,1,50000,5000000.0,59,23779.0,21841.0,21997.0,0.0
CLM-00235,2020,general_liability,D,2825000.0,4,25000,10000000.0,48,364584.0,370849.0,329230.0,41619.0
CLM-00236,2024,auto,C,858000.0,7,50000,1000000.0,54,918852.0,884453.0,813359.0,71094.0
CLM-00237,2020,general_liability,B,4066000.0,0,50000,1000000.0,6,201056.0,225487.0,24977.0,200510.0
CLM-00238,2018,general_liability,C,1647000.0,0,25000,2000000.0,30,83909.0,86366.0,48222.0,38144.0
CLM-00239,2018,auto,A,1770000.0,1,25000,2000000.0,58,17038.0,16328.0,16856.0,0.0
CLM-00240,2019,property,A,1489000.0,0,50000,2000000.0,49,12269.0,12426.0,10730.0,1696.0
CLM-00241,2019,property,C,1412000.0,4,50000,5000000.0,28,78983.0,74955.0,40430.0,34525.0
CLM-00242,2019,business_interruption,C,3034000.0,3,50000,10000000.0,5,68892.0,65081.0,6741.0,58340.0
CLM-00243,2020,cyber,A,2332000.0,1,25000,2000000.0,17,26508.0,25850.0,8360.0,17490.0
CLM-00244,2024,auto,B,2957000.0,2,100000,5000000.0,35,61605.0,57112.0,39428.0,17684.0
CLM-00245,2019,property,B,1989000.0,2,25000,1000000.0,39,68256.0,64649.0,47927.0,16722.0
CLM-00246,2019,property,C,2721000.0,2,50000,2000000.0,56,177739.0,201647.0,153112.0,48535.0
CLM-00247,2024,property,B,1556000.0,0,100000,1000000.0,6,19686.0,20999.0,2370.0,18629.0
CLM-00248,2019,business_interruption,B,7622000.0,1,50000,2000000.0,24,52306.0,59120.0,23337.0,35783.0
CLM-00249,2023,cyber,B,781000.0,1,25000,2000000.0,17,47365.0,45670.0,16721.0,28949.0
CLM-00250,2022,general_liability,B,4262000.0,1,50000,5000000.0,58,70097.0,78106.0,61508.0,16598.0
CLM-00251,2024,business_interruption,B,4544000.0,0,250000,5000000.0,10,409366.0,405505.0,77026.0,328479.0
CLM-00252,2021,property,C,1199000.0,4,250000,2000000.0,14,135337.0,126682.0,35772.0,90910.0
CLM-00253,2022,auto,B,7620000.0,0,25000,1000000.0,18,20881.0,22994.0,7243.0,15751.0
